ID,Movie_name,Overview,Genres,Release Date,Collection_name,backdrop_path,poster_path
10484,Les compères,"Unable to find her runaway son, a woman deceives two of her ex-lovers from her youth, a mild-mannered teacher and a tough journalist, that each is the real father in order to obtain their help.",Comedy,11/23/1983,,/wzTQzAAJUu0Is0RyHrRIjjhjL4F.jpg,/vtF5VPPRc8LLPeyPWj7xI8B4jLb.jpg
10485,Ghost Dad,"A widower with three children is working on a business deal to get his family out of financial straits when he is killed in a taxi accident. With the aid of a paranormal researcher, he attempts to complete the deal from the beyond, ensuring his family will be taken care of.",Comedy,6/29/1990,,/7jj4D39erl0hul2pQYlP7o0NwtX.jpg,/vYNIUUkJSZixxrfpMLFgVlagbaf.jpg
10486,My Father the Hero,"A teenage girl on vacation in the Bahamas with her divorced father tries to impress a potential boyfriend by saying that her father is actually her lover. Remake of the 1991 French film Mon père, ce héros.",Comedy,2/4/1994,,/i3gc7ucWJA8l1BffwqkvUIPHv6x.jpg,/qOP80oUZRTT7EsV7EZA9aBa95dQ.jpg
10487,"Zur Sache, Schätzchen","Martin is 25 years old and very reserved about work. Together with his buddy Henry, he lives in their Schwabing apartment in the day. But everything changes when he falls in love with the attractive Barbara and observed a slump: For when he gives up the police report, the officials themselves suspect him of the crime. In addition, he still owes a text to the hit producer Viktor Block. Suddenly Martin is up to his ears in chaos.",Comedy,1/4/1968,,/19XGHZTtfkeby96tJEvsZDzgAdd.jpg,/yMOFVSeDVM8MdKb6xL7l0iY0pEH.jpg
10488,Nim's Island,A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,Adventure,4/3/2008,Nim's Island Collection,/yXqNFTsp2P3fSkSQvs0vxkQF586.jpg,/vhNoXDpc7T5OdmAuu8DMHLB39uo.jpg
10489,Cujo,"A friendly St. Bernard named ""Cujo"" contracts rabies and conducts a reign of terror on a small American town.",Horror,8/10/1983,,/5AjXG1IHWfaODtzmWOkQGbmF3nZ.jpg,/uNBt2YxrQdyOjnm2rDQ5QiCmQ0K.jpg
10490,Drop Dead Gorgeous,"In a small Minnesota town, the annual beauty pageant is being covered by a TV crew. Former winner Gladys Leeman wants to make sure her daughter follows in her footsteps; explosions, falling lights, and trailer fires prove that. As the Leemans are the richest family in town, the police are pretty relaxed about it all. Despite everything, main rival (but sweet) Amber Atkins won't give up without a fight.",Comedy,7/23/1999,,/50P0Bl2AxRTrG5GTdkMcfs6INKC.jpg,/iMMvFvHhURa4cWv6CxhpwIDjme2.jpg
10491,Enigma,"The story of the WWII project to crack the code behind the Enigma machine, used by the Germans to encrypt messages sent to their submarines.",Mystery,1/22/2001,,/ypOBosXYg2jjCHyZBpX21if0qOv.jpg,/7gBFkDYBqvSzrPOWlpGTXRp97NQ.jpg
10492,Flashback - Mörderische Ferien,"A young woman is released from an asylum where she has been since witnessing the murder of her parents, but violence continues to haunt her.",Horror,4/6/2000,,/ttgFQOIaTUBJReFO0l8A8BcFcKV.jpg,/vKy37Ia72IxReRk2KVGICvBnIDj.jpg
10493,Dead Calm,"An Australian couple take a sailing trip in the Pacific to forget about a terrible accident. While on the open sea, in dead calm weather conditions, they come across a ship with one survivor who is not at all what he seems.",Thriller,4/7/1989,,/jJj7moXpWkZm3pUgvQqriKHGfmQ.jpg,/kSC0I6EZXGH6Vm7skkvdQ5Nfsuk.jpg
